[2026-03-28T22:56:16.234Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T22:56:16.234Z] GET /api/user/shortcuts | User: anon
[2026-03-28T22:56:16.235Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T22:56:21.962Z] POST /api/user/nutrients | User: anon
[2026-03-28T22:56:25.495Z] POST /api/user/nutrients | User: anon
[2026-03-28T22:56:29.426Z] GET /.well-known/appspecific/com.chrome.devtools.json | User: anon
[2026-03-28T22:56:29.428Z] GET /style.css | User: anon
[2026-03-28T22:58:56.849Z] GET / | User: anon
[2026-03-28T22:58:56.950Z] GET /.well-known/appspecific/com.chrome.devtools.json | User: anon
[2026-03-28T22:58:56.966Z] GET /style.css | User: anon
[2026-03-28T22:58:56.967Z] GET /app.js | User: anon
[2026-03-28T22:58:56.998Z] GET /api/auth/me | User: anon
[2026-03-28T22:58:57.167Z] GET /api/auth/config | User: anon
[2026-03-28T22:58:57.719Z] GET /favicon.ico | User: anon
[2026-03-28T22:59:00.754Z] POST /api/auth/google | User: anon
[2026-03-28T22:59:00.781Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T22:59:00.796Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T22:59:00.798Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T22:59:00.799Z] GET /api/user/shortcuts | User: anon
[2026-03-28T22:59:02.481Z] POST /api/user/nutrients | User: anon
[2026-03-28T22:59:57.213Z] POST /api/user/goals | User: anon
[2026-03-28T22:59:57.223Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T22:59:57.244Z] GET /api/user/shortcuts | User: anon
[2026-03-28T22:59:57.247Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T22:59:57.249Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T22:59:57.732Z] GET / | User: anon
[2026-03-28T22:59:57.788Z] GET /.well-known/appspecific/com.chrome.devtools.json | User: anon
[2026-03-28T22:59:57.805Z] GET /style.css | User: anon
[2026-03-28T22:59:57.806Z] GET /app.js | User: anon
[2026-03-28T22:59:57.825Z] GET /api/auth/me | User: anon
[2026-03-28T22:59:57.921Z] GET /api/auth/config | User: anon
[2026-03-28T22:59:58.523Z] GET /favicon.ico | User: anon
[2026-03-28T23:00:01.729Z] POST /api/auth/google | User: anon
[2026-03-28T23:00:01.752Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:00:01.774Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:00:01.777Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:00:01.779Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:01:41.395Z] GET / | User: anon
[2026-03-28T23:01:41.462Z] GET /.well-known/appspecific/com.chrome.devtools.json | User: anon
[2026-03-28T23:01:41.478Z] GET /style.css | User: anon
[2026-03-28T23:01:41.479Z] GET /app.js | User: anon
[2026-03-28T23:01:41.485Z] GET /api/auth/me | User: anon
[2026-03-28T23:01:41.649Z] GET /api/auth/config | User: anon
[2026-03-28T23:01:42.193Z] GET /favicon.ico | User: anon
[2026-03-28T23:01:44.788Z] POST /api/auth/google | User: anon
[2026-03-28T23:01:44.917Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:01:44.937Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:01:44.938Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:01:44.939Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:01:49.342Z] POST /api/user/goals | User: anon
[2026-03-28T23:01:49.349Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:01:49.357Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:01:49.359Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:01:49.363Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:01:51.195Z] POST /api/user/nutrients | User: anon
[2026-03-28T23:01:51.205Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:01:51.215Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:01:51.216Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:01:51.217Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:01:53.408Z] POST /api/user/nutrients | User: anon
[2026-03-28T23:01:53.412Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:01:53.420Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:01:53.422Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:01:53.423Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:01:54.991Z] POST /api/user/nutrients | User: anon
[2026-03-28T23:01:54.997Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:01:55.004Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:01:55.007Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:01:55.009Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:01:56.941Z] POST /api/user/nutrients | User: anon
[2026-03-28T23:01:56.944Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:01:56.949Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:01:56.951Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:01:56.951Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:02:08.100Z] GET / | User: anon
[2026-03-28T23:02:08.179Z] GET /.well-known/appspecific/com.chrome.devtools.json | User: anon
[2026-03-28T23:02:08.183Z] GET /style.css | User: anon
[2026-03-28T23:02:08.184Z] GET /app.js | User: anon
[2026-03-28T23:02:08.204Z] GET /api/auth/me | User: anon
[2026-03-28T23:02:08.312Z] GET /api/auth/config | User: anon
[2026-03-28T23:02:08.536Z] GET /favicon.ico | User: anon
[2026-03-28T23:02:12.035Z] POST /api/auth/google | User: anon
[2026-03-28T23:02:12.056Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:02:12.080Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:02:12.083Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:02:12.086Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:14:37.181Z] GET / | User: anon
[2026-03-28T23:14:37.280Z] GET /.well-known/appspecific/com.chrome.devtools.json | User: anon
[2026-03-28T23:14:37.294Z] GET /style.css | User: anon
[2026-03-28T23:14:37.297Z] GET /app.js | User: anon
[2026-03-28T23:14:37.304Z] GET /api/auth/me | User: anon
[2026-03-28T23:14:37.670Z] GET /api/auth/config | User: anon
[2026-03-28T23:14:37.710Z] GET /favicon.ico | User: anon
[2026-03-28T23:14:44.833Z] POST /api/auth/google | User: anon
[2026-03-28T23:14:44.846Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:14:44.868Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:14:44.872Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:14:44.873Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:14:51.223Z] POST /api/user/goals | User: anon
[2026-03-28T23:14:52.263Z] POST /api/user/goals | User: anon
[2026-03-28T23:15:07.556Z] POST /api/user/nutrients | User: anon
[2026-03-28T23:15:07.563Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:15:07.570Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:15:07.571Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:15:07.573Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:15:12.043Z] GET / | User: anon
[2026-03-28T23:15:12.088Z] GET /.well-known/appspecific/com.chrome.devtools.json | User: anon
[2026-03-28T23:15:12.102Z] GET /style.css | User: anon
[2026-03-28T23:15:12.103Z] GET /app.js | User: anon
[2026-03-28T23:15:12.130Z] GET /api/auth/me | User: anon
[2026-03-28T23:15:12.216Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:15:12.381Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:15:12.383Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:15:12.385Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:15:12.417Z] GET /favicon.ico | User: anon
[2026-03-28T23:15:13.512Z] GET / | User: anon
[2026-03-28T23:15:13.548Z] GET /.well-known/appspecific/com.chrome.devtools.json | User: anon
[2026-03-28T23:15:13.550Z] GET /style.css | User: anon
[2026-03-28T23:15:13.551Z] GET /app.js | User: anon
[2026-03-28T23:15:13.572Z] GET /api/auth/me | User: anon
[2026-03-28T23:15:13.650Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:15:13.845Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:15:13.847Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:15:13.848Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:15:13.849Z] GET /favicon.ico | User: anon
[2026-03-28T23:15:14.426Z] GET / | User: anon
[2026-03-28T23:15:14.465Z] GET /.well-known/appspecific/com.chrome.devtools.json | User: anon
[2026-03-28T23:15:14.467Z] GET /style.css | User: anon
[2026-03-28T23:15:14.467Z] GET /app.js | User: anon
[2026-03-28T23:15:14.488Z] GET /api/auth/me | User: anon
[2026-03-28T23:15:14.579Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:15:14.749Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:15:14.751Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:15:14.755Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:15:14.779Z] GET /favicon.ico | User: anon
[2026-03-28T23:15:18.423Z] GET / | User: anon
[2026-03-28T23:15:18.438Z] GET /style.css | User: anon
[2026-03-28T23:15:18.439Z] GET /app.js | User: anon
[2026-03-28T23:15:18.454Z] GET /api/auth/me | User: anon
[2026-03-28T23:15:18.514Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:15:18.632Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:15:18.635Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:15:18.639Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:15:18.667Z] GET /favicon.ico | User: anon
[2026-03-28T23:15:25.694Z] POST /api/user/goals | User: anon
[2026-03-28T23:15:27.098Z] POST /api/user/goals | User: anon
[2026-03-28T23:15:27.446Z] POST /api/user/goals | User: anon
[2026-03-28T23:15:27.679Z] POST /api/user/goals | User: anon
[2026-03-28T23:15:30.179Z] GET / | User: anon
[2026-03-28T23:15:30.217Z] GET /style.css | User: anon
[2026-03-28T23:15:30.219Z] GET /app.js | User: anon
[2026-03-28T23:15:30.284Z] GET /favicon.ico | User: anon
[2026-03-28T23:15:30.362Z] GET /api/auth/config | User: anon
[2026-03-28T23:15:33.984Z] POST /api/auth/google | User: anon
[2026-03-28T23:15:34.000Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:15:34.012Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:15:34.015Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:15:34.017Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:15:45.467Z] GET / | User: anon
[2026-03-28T23:15:45.490Z] GET /style.css | User: anon
[2026-03-28T23:15:45.491Z] GET /app.js | User: anon
[2026-03-28T23:15:45.499Z] GET /api/auth/me | User: anon
[2026-03-28T23:15:45.521Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:15:45.565Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:15:45.575Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:15:45.576Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:15:45.576Z] GET /favicon.ico | User: anon
[2026-03-28T23:17:16.882Z] GET /api/locations | User: anon
[2026-03-28T23:17:16.900Z] GET /api/menu?locationSlug=the-commons-dining-hall-south-campus&periodSlug=dinner&date=2026-03-28 | User: anon
[2026-03-28T23:17:23.764Z] POST /api/user/logs | User: anon
[2026-03-28T23:17:23.783Z] POST /api/user/logs | User: anon
[2026-03-28T23:17:23.787Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:17:23.805Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:17:23.806Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:17:23.809Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:19:18.363Z] GET /api/locations | User: anon
[2026-03-28T23:19:18.380Z] GET /api/menu?locationSlug=the-commons-dining-hall-south-campus&periodSlug=dinner&date=2026-03-28 | User: anon
[2026-03-28T23:19:51.805Z] GET / | User: anon
[2026-03-28T23:19:51.924Z] GET /style.css | User: anon
[2026-03-28T23:19:51.925Z] GET /app.js | User: anon
[2026-03-28T23:19:52.063Z] GET /api/auth/me | User: anon
[2026-03-28T23:19:52.168Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:19:52.416Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:19:52.420Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:19:52.422Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:19:52.555Z] GET /favicon.ico | User: anon
[2026-03-28T23:19:56.634Z] POST /api/user/goals | User: anon
[2026-03-28T23:19:56.638Z] GET /api/user/logs?date=2026-03-28 | User: anon
[2026-03-28T23:19:56.645Z] GET /api/user/shortcuts | User: anon
[2026-03-28T23:19:56.646Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:19:56.647Z] GET /api/user/logs-range?start=2026-03-22&end=2026-03-28 | User: anon
[2026-03-28T23:21:16.466Z] POST /api/user/goals | User: anon
